feature	nonzero_folds	mean_coef	mean_abs_coef
DNase_ratio_std_rank	5	0.055385412218746544	0.055385412218746544
DNase_tss_autocorr_rank	5	0.04188189340225314	0.04188189340225314
DNase_H3K4me3_interaction_rank	5	0.040669069210151274	0.040669069210151274
DNase_tss_entropy	5	-0.03573410698690436	0.03573410698690436
H3K36me3_gene_z_mean_rank	5	0.02186922133049046	0.02186922133049046
H3K4me3_tss_entropy_rank	5	-0.0171613327173805	0.0171613327173805
H3K4me3_ratio_std_rank	5	-0.01694839134789296	0.01694839134789296
H3K4me3_gene_autocorr_rank	5	0.0151374927354898	0.0151374927354898
H3K4me3_gene_z_std	5	0.0106346019446796	0.0106346019446796
H3K4me1_tss_z_min_rank	5	-0.01026225643712916	0.01026225643712916
H3K4me3_tss_z_min_rank	5	0.01008414251682486	0.01008414251682486
DNase_tss_entropy_rank	5	0.00968453957793554	0.00968453957793554
H3K36me3_axis_sum_rank	5	0.00942704777094642	0.00942704777094642
H3K4me3_tss_entropy	5	-0.00935547133379282	0.00935547133379282
DNase_tss_autocorr	5	-0.00922003918373318	0.00922003918373318
H3K9me3_tss_z_min_rank	5	0.009199535825677679	0.009199535825677679
DNase_H3K4me3_interaction	5	-0.00877516635916236	0.00877516635916236
H3K4me3_H3K27me3_interaction_rank	5	0.00851787415299648	0.00851787415299648
tss_length	5	0.00751635316295414	0.00751635316295414
H3K27me3_tss_z_min_rank	5	0.0073245633790994195	0.0073245633790994195
H3K27me3_gene_z_std_rank	5	0.00662061691576428	0.00662061691576428
DNase_gene_autocorr_rank	5	-0.006518209045578061	0.006518209045578061
H3K4me3_tss_skewness	5	0.006319169675999281	0.006319169675999281
H3K27ac_H3K4me3_interaction_rank	5	0.0062501228730155	0.0062501228730155
H3K36me3_tss_z_mean_rank	5	-0.0060304101290761195	0.0060304101290761195
H3K36me3_axis_sum	5	0.00601216396217272	0.00601216396217272
H3K36me3_tss_z_min	5	0.0060121177908433	0.0060121177908433
H3K27me3_gene_z_std	5	-0.00556436289587958	0.00556436289587958
H3K4me3_gene_entropy_rank	5	-0.00523231754451692	0.00523231754451692
H3K27ac_H3K4me1_interaction_rank	5	0.0044231286081805	0.0044231286081805
H3K27me3_tss_entropy_rank	5	0.00412757567198036	0.00412757567198036
openness_index_rank	5	0.00400825330159722	0.00400825330159722
H3K27ac_gene_z_min	5	-0.0037919250376352	0.0037919250376352
H3K4me3_ratio_mean_rank	5	0.00378317267460978	0.00378317267460978
H3K27ac_axis_sum_rank	5	0.00371287164738454	0.00371287164738454
H3K27ac_gene_autocorr_rank	5	0.00369741253867976	0.00369741253867976
H3K4me1_tss_skewness_rank	5	-0.0036498852971242	0.0036498852971242
H3K27me3_tss_kurtosis_rank	5	0.00347746441447398	0.00347746441447398
H3K27me3_gene_z_min_rank	5	0.00344949899082374	0.00344949899082374
H3K27me3_ratio_mean_rank	5	0.0032698886719799204	0.0032698886719799204
H3K9me3_gene_z_mean	5	-0.0032448882264816	0.0032448882264816
DNase_tss_skewness_rank	5	-0.0032312181732458644	0.0032312181732458644
H3K36me3_H3K4me1_interaction_rank	5	-0.00318143121921724	0.00318143121921724
DNase_H3K27me3_interaction	5	-0.0031748286641758	0.0031748286641758
DNase_tss_skewness	5	-0.00306977182556878	0.00306977182556878
H3K4me3_H3K4me1_interaction	5	-0.00294526638212434	0.00294526638212434
DNase_H3K36me3_interaction	5	0.0029337241720369	0.0029337241720369
H3K4me3_gene_z_min_rank	5	0.0029218217888626998	0.0029218217888626998
H3K9me3_gene_autocorr_rank	5	-0.00280028187887652	0.00280028187887652
DNase_ratio_mean_rank	5	-0.00276404251486748	0.00276404251486748
H3K36me3_H3K4me1_interaction	5	-0.00275371763478614	0.00275371763478614
H3K4me3_H3K9me3_interaction	5	0.0027216416805060603	0.0027216416805060603
