outer_chr	inner_fold	rho_nomask	rho_masked
chr2	1	0.8399584580305882	0.8526057886482106
chr2	2	0.8401236315170452	0.8520005509165256
chr2	3	0.838534177480862	0.8542555245092283
chr2	4	0.8256855885950198	0.8415908457432455
chr2	5	0.8291893629406999	0.8485901200867199
chr3	1	0.824586347986264	0.8425660206826746
chr3	2	0.8398590823439557	0.8530455511158335
chr3	3	0.8381064054438319	0.8531865071153283
chr3	4	0.8253325941808549	0.839808905079495
chr3	5	0.8288188836082679	0.8500891771109117
chr4	1	0.8237860131599234	0.8403989116000143
chr4	2	0.8448373365410052	0.853710684108766
chr4	3	0.837435284037082	0.8553050641168283
chr4	4	0.8248924698745659	0.8389644947941368
chr4	5	0.8291723131201397	0.8501950876407067
chr5	1	0.8258818590203568	0.8420476800584018
chr5	2	0.8456539347720154	0.854381352508183
chr5	3	0.8294400928302955	0.8493844822361286
chr5	4	0.8254504582324101	0.838895631661275
chr5	5	0.8296281329283755	0.8491891574555082
chr6	1	0.8251472301943061	0.8406145358601362
chr6	2	0.845186931517352	0.8540746665211142
chr6	3	0.8315398298403935	0.8453486707116515
chr6	4	0.835113328553635	0.8533488026043065
chr6	5	0.8285613886310839	0.8500923654548956
chr7	1	0.8239894319162422	0.8381038654609285
chr7	2	0.845761852118126	0.854864486082929
chr7	3	0.8312793699969393	0.8476018857301936
chr7	4	0.8338951316860028	0.854756202475505
chr7	5	0.8249528311585199	0.8403541224049709
chr8	1	0.8238343892943297	0.8395710541184177
chr8	2	0.8443010090565511	0.853698507801808
chr8	3	0.8328926524543763	0.8482635079746058
chr8	4	0.8340077614136453	0.8544556606451323
chr8	5	0.8253245345977486	0.8405145465387315
chr9	1	0.823226239548638	0.8397474907396623
chr9	2	0.845609531818329	0.8561507495334955
chr9	3	0.8306725613510159	0.844533630285686
chr9	4	0.8332439738669398	0.8529039641384593
chr9	5	0.8249144505586448	0.8424779787796269
chr10	1	0.8241667361191554	0.8412663497778085
chr10	2	0.8459869442419653	0.8563418264487641
chr10	3	0.8333993633426552	0.849047205335326
chr10	4	0.833683960282578	0.8535160325365078
chr10	5	0.8264624286860528	0.8413406761026567
chr11	1	0.8250461875237857	0.8396832589878375
chr11	2	0.8459982648901236	0.8554581427184967
chr11	3	0.8343999131795642	0.8526604317816728
chr11	4	0.8303609241838862	0.8434085168571325
chr11	5	0.8268190581423369	0.8432318074112393
chr12	1	0.8230920231498268	0.8421669525868289
chr12	2	0.8465211885017178	0.8569254388140748
chr12	3	0.8332082621688107	0.8493048942602216
chr12	4	0.83009874020915	0.843004591775449
chr12	5	0.8272757549720853	0.8451750881348773
chr13	1	0.8289795469955236	0.8527389407445638
chr13	2	0.8460697017973459	0.8577826380303505
chr13	3	0.833377565846437	0.8509686758896595
chr13	4	0.8306887857551789	0.8486675317656314
chr13	5	0.8273407067613756	0.8449788665812337
chr14	1	0.828773763192827	0.849180509858863
chr14	2	0.8415778798366952	0.849651178496445
chr14	3	0.8350738592880274	0.8531681070416699
chr14	4	0.8304536700577474	0.8428695590213527
chr14	5	0.8281310424917834	0.8460416230899039
chr15	1	0.8303756347739094	0.8495215584557432
chr15	2	0.8419819269853307	0.8505530005664184
chr15	3	0.8383987540910276	0.8562700938577813
chr15	4	0.8294168155647662	0.8447070966639659
chr15	5	0.8278560399915126	0.8447836100010674
chr16	1	0.8295198401600394	0.8492519556110169
chr16	2	0.8415152165523448	0.8500267519803687
chr16	3	0.8373911716197919	0.8539645676323663
chr16	4	0.8398404129495909	0.8580967497747375
chr16	5	0.8270952743777581	0.8431448005569855
chr17	1	0.8290929770332002	0.8495252221014655
chr17	2	0.8414960867108595	0.8489346242029282
chr17	3	0.8362435858770749	0.8534867853655072
chr17	4	0.8391588742807594	0.8574966824334004
chr17	5	0.8239030217894129	0.8361920209901341
chr18	1	0.8279740418463644	0.846925836028268
chr18	2	0.8424448103141898	0.8517613174397624
chr18	3	0.8372736361182033	0.8544343649724904
chr18	4	0.8400405795327618	0.8574964641474462
chr18	5	0.8241940503431939	0.8366840563174923
chr19	1	0.8274276802259344	0.8485113730487255
chr19	2	0.8403881466867849	0.8534124360113614
chr19	3	0.8371086981536481	0.8545227490506538
chr19	4	0.8387886916821967	0.855694647416494
chr19	5	0.8227133140579034	0.83534216106794
chr20	1	0.8278929449179979	0.8512294870792709
chr20	2	0.8408766771299775	0.8532922745691411
chr20	3	0.841996448609646	0.8562153556890049
chr20	4	0.8395301977662426	0.8598449275200366
chr20	5	0.8249876129270332	0.8378703088490471
chr21	1	0.8271843941836245	0.8478908910263293
chr21	2	0.8407965114188387	0.8548967904115681
chr21	3	0.8413838877193995	0.8542903016524624
chr21	4	0.8383735710011465	0.8565049916085755
chr21	5	0.8250853808815846	0.8370956015747977
chr22	1	0.8284827119460675	0.8461881017711181
chr22	2	0.840064200872374	0.8509212086469836
chr22	3	0.8417984314591522	0.8527597762966695
chr22	4	0.8380200999177023	0.8538752703148353
chr22	5	0.8257152612605932	0.8390632770748998
