gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
ECH1	chr19	38815422	38831841	38816220	38816270	-	0.0
CAMSAP3	chr19	7595863	7618304	7595901	7595951	+	0.0
MISP	chr19	751112	764318	758062	758112	+	0.0
MCOLN1	chr19	7522624	7534009	7526239	7526289	+	0.0
CHERP	chr19	16517894	16542437	16542159	16542209	-	0.480535524165267
NDUFA3	chr19	54102728	54109257	54108703	54108726	+	0.0
TINCR	chr19	5558167	5578349	5567984	5568034	-	0.0
DPY19L3	chr19	32405543	32485895	32477482	32477532	+	0.0
MAN2B1	chr19	12646511	12666742	12666692	12666742	-	97.8370327200483
MAP3K10	chr19	40191426	40215575	40192244	40192294	+	0.0
RETN	chr19	7669049	7670455	7669043	7669093	+	0.0
HAUS8	chr19	17049729	17075625	17075575	17075625	-	1.05717815316359
KCNN4	chr19	43766533	43780976	43769107	43769157	-	0.0
ZNF225	chr19	44112181	44134822	44113414	44113464	+	32.1958801190729
ZNF91	chr19	23304991	23395471	23395421	23395471	-	23.546240684098105
FUT3	chr19	5842888	5851471	5850269	5850319	-	0.0
KIR2DS4	chr19	54832690	54848582	54832675	54832725	+	0.0
SIX5	chr19	45764785	45769252	45768577	45768627	-	0.0
SBK3	chr19	55540656	55545543	55545498	55545543	-	0.0
ZNF146	chr19	36214602	36238771	36215095	36215145	+	171.262860812501
LIM2	chr19	51379909	51387974	51387918	51387955	-	0.0
CGB2	chr19	49031890	49033238	49031911	49031961	+	0.0
ZNF444	chr19	56132599	56160893	56141302	56141352	+	18.6447783376123
MBD3L1	chr19	8832377	8843340	8832397	8832447	+	0.0
LHB	chr19	49015980	49017091	49017066	49017081	-	0.0
ANO8	chr19	17323223	17334855	17334779	17334829	-	1.05717815316359
BORCS8	chr19	19176903	19192591	19192539	19192589	-	3.5559628788229705
HCN2	chr19	589881	617159	589892	589942	+	0.0
NUCB1	chr19	48900312	48923372	48900319	48900369	+	342.814042939501
ZNF567	chr19	36687612	36727701	36712439	36712489	+	0.480535524165267
ZNF420	chr19	37007857	37130368	37078417	37078467	+	39.0194845622196
MUC16	chr19	8848844	8981342	8891947	8891997	-	0.0
SLC27A1	chr19	17468769	17506168	17470488	17470538	+	4.90146234648572
TBC1D17	chr19	49877666	49888750	49878549	49878599	+	0.480535524165267
ZNF441	chr19	11767000	11784078	11766999	11767049	+	8.16910391080953
PNKP	chr19	49859882	49878351	49867538	49867588	-	7.88078259631037
KLK6	chr19	50958631	50969673	50968146	50968196	-	0.0
