gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
MAD1L1	chr7	1815793	2233243	2230611	2230661	-	0.0
CYP51A1	chr7	92084987	92134803	92134480	92134530	-	35.1619568378333
NUP42	chr7	23181841	23201011	23194402	23194452	+	0.0
ZNF680	chr7	64519878	64563075	64563025	64563075	-	0.0
RNF216	chr7	5620047	5781696	5649965	5650015	-	0.0
MET	chr7	116672196	116798377	116758516	116758566	+	0.0
TRA2A	chr7	23504780	23532041	23531973	23532023	-	204.823202126395
UNCX	chr7	1232872	1237326	1232906	1232956	+	0.0
FOXP2	chr7	114086327	114693772	114416285	114416335	+	0.0
PTTG1IP2	chr7	90469639	90513397	90469786	90469836	+	0.0
CASP2	chr7	143288215	143307696	143291617	143291667	+	0.0
SRRM3	chr7	76201896	76287288	76234981	76235031	+	0.0
CHRM2	chr7	136868652	137020255	136868777	136868827	+	0.096070920321949
BMT2	chr7	112819147	112939875	112939248	112939298	-	0.0
STK31	chr7	23710203	23832513	23710325	23710375	+	0.0
CAPZA2	chr7	116811070	116922049	116862586	116862636	+	246.037626944511
CLCN1	chr7	143316111	143352083	143316125	143316175	+	0.0
ZNF786	chr7	149069641	149090782	149090732	149090782	-	106.254437876076
ZYX	chr7	143381295	143391111	143381360	143381410	+	0.672496442253643
BCL7B	chr7	73536356	73557690	73557604	73557654	-	1.53713472515118
CBLL1	chr7	107743949	107761667	107744141	107744176	+	139.206763546504
SRPK2	chr7	105110704	105399308	105133018	105133068	-	0.096070920321949
TAX1BP1	chr7	27739331	27844564	27739330	27739380	+	0.96070920321949
LSM5	chr7	32485338	32495283	32490813	32490863	-	0.0
RABGEF1	chr7	66682164	66811464	66682163	66682213	+	3.17034037062432
HECW1	chr7	43112629	43566001	43112598	43112648	+	4.99568785674135
STRIP2	chr7	129434432	129488399	129434432	129434482	+	70.22784275534471
NPY	chr7	24284188	24291862	24284162	24284212	+	0.0
SCRN1	chr7	29920104	29990289	29990155	29990205	-	0.096070920321949
VPS41	chr7	38722974	38932394	38909179	38909229	-	277.837101571077
CAV2	chr7	116287380	116508541	116289912	116289962	+	0.0
FBXL18	chr7	5431335	5513809	5513748	5513798	-	23.0570208772678
PPP1R3A	chr7	113876777	114075920	114075870	114075920	-	0.0
SPDYE17	chr7	77022306	77032361	77030522	77030572	-	0.0
PPP1R35	chr7	100435282	100436497	100436423	100436473	-	32.2798292281749
SPDYE9	chr7	73075972	73086038	73082045	73082095	-	0.0
DGKI	chr7	137381037	137847092	137847042	137847092	-	0.0
GUSB	chr7	65960684	65982215	65967858	65967908	-	0.0
JAZF1	chr7	27830573	28180795	28071634	28071684	-	0.0
GSTK1	chr7	143244093	143270854	143263440	143263490	+	86.31972190927121
SVOPL	chr7	138594285	138701362	138663521	138663571	-	0.0
LMBR1	chr7	156668946	156893216	156763127	156763177	-	0.096070920321949
EEPD1	chr7	36153254	36301538	36297143	36297177	+	0.0
SPDYE18	chr7	77050391	77062558	77059390	77059440	-	0.0
PLOD3	chr7	101205977	101218420	101211887	101211937	-	0.096070920321949
IGF2BP3	chr7	23310209	23470491	23431253	23431303	-	0.0
NPVF	chr7	25224570	25228486	25228436	25228486	-	0.0
GIMAP7	chr7	150514872	150521073	150514829	150514879	+	0.0
ADCK2	chr7	140672945	140696261	140674483	140674533	+	0.0
SUGCT	chr7	40135005	40860763	40274510	40274560	+	0.0
TTC26	chr7	139133744	139191986	139133743	139133793	+	85.5031190865346
HOXA5	chr7	27141052	27143681	27142725	27142775	-	0.0
CYP3A43	chr7	99828013	99866093	99828012	99828062	+	0.0
RAPGEF5	chr7	22118236	22357154	22193694	22193744	-	0.288212760965847
POLR2J3	chr7	102562133	102572583	102572505	102572555	-	0.0
INMT	chr7	30697985	30757602	30697984	30698034	+	0.0
CROT	chr7	87345664	87399794	87345680	87345730	+	32.2798292281749
COX19	chr7	898778	975549	975499	975549	-	44.2886942684185
YWHAG	chr7	76326799	76358991	76358981	76359031	-	348.16101524674303
CDCA7L	chr7	21900899	21945903	21945853	21945903	-	214.43029415859
OR2F1	chr7	143954844	143997312	143959926	143959976	+	0.0
OCM	chr7	5879827	5886363	5880797	5880847	+	0.0
ZNF117	chr7	64971772	65006684	64982069	64982119	-	0.0
AMZ1	chr7	2679522	2775500	2688201	2688251	+	0.096070920321949
COA1	chr7	43608456	43729717	43729491	43729541	-	452.97438931799
KCP	chr7	128862042	128910719	128880873	128880923	-	0.0
LAMB1	chr7	107923799	108003213	108003205	108003255	-	3.4585531315901603
SRRT	chr7	100875103	100888664	100885294	100885344	+	0.672496442253643
OR2A5	chr7	144048948	144058845	144050367	144050417	+	0.0
NIPSNAP2	chr7	55951793	56000181	55965112	55965150	+	0.0
ZNF138	chr7	64794388	64833681	64794489	64794539	+	0.096070920321949
INTS1	chr7	1470277	1504389	1471711	1471761	-	0.0
RUNDC3B	chr7	87627548	87832296	87628412	87628462	+	0.672496442253643
CYP2W1	chr7	983181	989640	986413	986463	+	0.0
SEPTIN14	chr7	55793540	55862755	55862705	55862755	-	0.0
RADIL	chr7	4797055	4883716	4883669	4883719	-	3.84283681287796
RSBN1L	chr7	77696459	77783022	77696442	77696492	+	817.4674610194639
EGFR	chr7	55019017	55211628	55019020	55019070	+	0.096070920321949
FAM131B	chr7	143353400	143362770	143362702	143362752	-	1.2489219641853402
SBDS	chr7	66987680	66995586	66995551	66995601	-	47.9393892406526
LMOD2	chr7	123655866	123664290	123655868	123655918	+	0.0
AUTS2	chr7	69598296	70793506	70776673	70776723	+	0.096070920321949
SSBP1	chr7	141744329	141752534	141738357	141738407	+	1383.997678158
CHPF2	chr7	151232483	151240979	151232488	151232538	+	5.379971538029151
DUS4L	chr7	107563617	107578656	107563483	107563533	+	0.0
TMEM213	chr7	138797952	138838101	138798028	138798078	+	0.096070920321949
CPA1	chr7	130380339	130388114	130380370	130380420	+	0.0
OR2A7	chr7	144257663	144264792	144259672	144259722	-	0.0
OR2A1	chr7	144312419	144322737	144318124	144318174	+	0.0
TMEM130	chr7	98846488	98870771	98847678	98847728	-	0.096070920321949
UBE2H	chr7	129830732	129952960	129952581	129952631	-	0.288212760965847
POLR2J	chr7	102473128	102478922	102478857	102478907	-	91.9879062082662
VOPP1	chr7	55436056	55572988	55516027	55516077	-	0.0
CLEC5A	chr7	141927357	141947007	141946957	141947007	-	0.0
ARPC1A	chr7	99325898	99366262	99325897	99325947	+	133.634650167831
TEX47	chr7	88794106	88795737	88795671	88795721	-	0.0
KPNA7	chr7	99173572	99250075	99207456	99207506	-	0.0
TMEM196	chr7	19719315	19773617	19773566	19773598	-	1.92141840643898
AGK	chr7	141551278	141655244	141551394	141551434	+	201.508755375288
SEMA3C	chr7	80742538	80922359	80919133	80919183	-	0.0
CAMK2B	chr7	44217150	44334577	44323912	44323962	-	0.0
ZNF853	chr7	6615610	6624290	6615616	6615666	+	0.480354601609745
AEBP1	chr7	44104345	44114562	44108930	44108976	+	0.0
C7orf26	chr7	6590021	6608726	6600036	6600086	+	0.288212760965847
RBAK	chr7	5045821	5069487	5045820	5045870	+	9.414950191551
RHBDD2	chr7	75842602	75888926	75879139	75879189	+	0.096070920321949
RAMP3	chr7	45157791	45186302	45157790	45157840	+	1.2489219641853402
