gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
NME2	chr17	51165435	51171744	51169382	51169432	+	0.0
ASB16	chr17	44170447	44179084	44170705	44170755	+	0.0
TBC1D3I	chr17	36355285	36366216	36264503	36264553	-	0.0
PSMC5	chr17	63827152	63832026	63827432	63827482	+	322.439336714894
SPPL2C	chr17	45844881	45847067	45844834	45844884	+	0.0
PRPSAP1	chr17	76309478	76384521	76384471	76384521	-	0.0
SMG6	chr17	2059839	2303785	2214299	2214349	-	0.0
ARHGDIA	chr17	81867721	81871378	81870924	81870974	-	0.0
OR3A3	chr17	3411370	3424070	3420567	3420617	+	0.0
GRB7	chr17	39737927	39747291	39737961	39738011	+	0.0
ARL16	chr17	81681187	81683797	81683609	81683659	-	0.480535524165267
THRA	chr17	40058290	40093867	40058289	40058339	+	0.0
ACACA	chr17	37086456	37411442	37225521	37225571	-	0.0
RUNDC1	chr17	42980565	42995142	42980564	42980614	+	30.177630917578696
NAGLU	chr17	42536241	42544449	42536937	42536987	+	0.0
MED11	chr17	4731428	4733608	4731427	4731477	+	111.09981318701
NLRP1	chr17	5499427	5619424	5584481	5584531	-	41.6143763927121
TBC1D3	chr17	38181659	38192555	38192491	38192541	-	0.0
CCDC43	chr17	44673069	44689779	44689729	44689779	-	43.7287326990393
NT5M	chr17	17303335	17347663	17303365	17303415	+	1.63382078216191
EIF4A3	chr17	80134369	80147151	80140426	80140476	-	0.0
CYBC1	chr17	82442586	82450829	82450718	82450768	-	150.263458406479
TAC4	chr17	49838300	49848069	49847967	49848017	-	0.0
C17orf113	chr17	42038232	42050601	42043067	42043117	-	0.0
NTN1	chr17	9021510	9244000	9162934	9162984	+	0.480535524165267
KRT39	chr17	40958544	40967019	40960647	40960697	-	0.0
STH	chr17	46098193	46098637	45999249	45999299	+	0.0
NR1D1	chr17	40092793	40100589	40100675	40100725	-	17.2992788699496
COX11	chr17	54951902	54968703	54961118	54961139	-	0.0
EVPLL	chr17	18387383	18399252	18386403	18386453	+	0.0
KRTAP9-3	chr17	41232449	41233454	41232462	41232512	+	0.0
PEMT	chr17	17505563	17591708	17506273	17506323	-	0.0
CD300LG	chr17	43847148	43863639	43847152	43847202	+	0.0
TUBG2	chr17	42659284	42667006	42660259	42660309	+	0.480535524165267
GIP	chr17	48958554	48968596	48968546	48968596	-	0.0
QRICH2	chr17	76274049	76308276	76280307	76280357	-	0.0
NCOR1	chr17	16029157	16218185	16040609	16040659	-	0.0
