gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
SLC20A1	chr2	112645939	112663825	112658362	112658412	+	0.0
POMC	chr2	25160853	25168903	25168640	25168690	-	1.7292765657950802
ALK	chr2	29192774	29921586	29717650	29717700	-	0.0
GTF3C2	chr2	27325849	27357034	27337258	27337308	-	0.0
PTPN18	chr2	130356045	130375405	130358949	130358975	+	0.0
RGPD4	chr2	107826892	107892544	107826936	107826986	+	0.0
OST4	chr2	27070472	27071654	27071600	27071649	-	33.8169639533261
NDUFS1	chr2	206114817	206159509	206159375	206159425	-	185.609018062006
GRHL1	chr2	9951693	10002277	9951692	9951742	+	8.26209914768762
CALM2	chr2	47160084	47176921	47176461	47176511	-	340.187128860021
FAM126B	chr2	200973718	201071671	201045507	201045557	-	0.0
SH3BP4	chr2	234952017	235055714	234981633	234981683	+	0.288212760965847
DOCK10	chr2	224765090	225042468	224807910	224807933	-	0.0
GTF2A1L	chr2	48617798	48733148	48617837	48617887	+	0.0
ASPRV1	chr2	69960089	69961631	69962215	69962265	-	0.0
PKDCC	chr2	42048021	42058517	42054956	42055006	+	0.096070920321949
DYNC2LI1	chr2	43774039	43810010	43774038	43774088	+	22.09631167404829
CIAO1	chr2	96266159	96274173	96266240	96266290	+	79.8349347875396
CERKL	chr2	181535041	181680665	181657057	181657107	-	0.096070920321949
ITGB1BP1	chr2	9403475	9423528	9408249	9408299	-	0.0
CGREF1	chr2	27098889	27119128	27119065	27119115	-	0.096070920321949
DTYMK	chr2	241675747	241686944	241686941	241686991	-	0.096070920321949
ARMC9	chr2	231198546	231376848	231198642	231198692	+	20.8473897098629
DUSP19	chr2	183078559	183100008	183078988	183079038	+	0.0
ATG16L1	chr2	233210051	233295674	233251669	233251719	+	540.0146431296749
MAP4K3	chr2	39249266	39437301	39437178	39437228	-	5.379971538029151
REG3A	chr2	79157003	79159753	79159727	79159749	-	0.0
SPATS2L	chr2	200305881	200482264	200306158	200306208	+	24.5941556024189
LYG1	chr2	99284238	99304742	99304692	99304742	-	0.0
SUMO1	chr2	202206182	202238599	202238558	202238608	-	1789.3208909963
CD302	chr2	159768628	159798255	159798192	159798242	-	3.65069497223406
ZNF514	chr2	95145000	95165413	95159287	95159337	-	0.0
NCK2	chr2	105744912	105894274	105744896	105744946	+	9.414950191551
IL1R2	chr2	101991960	102028544	102023389	102023439	+	0.0
DYNC1I2	chr2	171687409	171750158	171687408	171687458	+	19.79060958632149
VIT	chr2	36696690	36814794	36696825	36696875	+	0.0
MOB4	chr2	197515571	197553699	197516046	197516096	+	426.650957149776
KCTD18	chr2	200488958	200519784	200510018	200510068	-	0.480354601609745
MSGN1	chr2	17816460	17817798	17816495	17816545	+	0.0
