fold	val_chr	overall_spearman	chr	mean_spearman
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr10	0.7198069461207895
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr11	0.7820730702382118
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr12	0.7552999967309083
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr13	0.7021331295406869
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr14	0.740863670623066
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr15	0.7543495323381043
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr16	0.7325379578595145
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr17	0.7354356461195563
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr18	0.7715275814995549
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr19	0.7115174699460612
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr2	0.7186277136918787
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr20	0.7307666773474368
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr21	0.7192186013524575
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr22	0.7291033232905524
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr3	0.7697132377554816
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr4	0.7605773346314534
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr5	0.7523709881977747
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr6	0.7208523448332274
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr7	0.7446305910545249
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr8	0.7588475999285668
1	chr2,chr7,chr12,chr17,chr22	0.7368990653136703	chr9	0.7295616777150291
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr10	0.7198069461207895
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr11	0.7820730702382118
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr12	0.7552999967309083
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr13	0.7021331295406869
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr14	0.740863670623066
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr15	0.7543495323381043
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr16	0.7325379578595145
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr17	0.7354356461195563
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr18	0.7715275814995549
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr19	0.7115174699460612
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr2	0.7186277136918787
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr20	0.7307666773474368
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr21	0.7192186013524575
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr22	0.7291033232905524
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr3	0.7697132377554816
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr4	0.7605773346314534
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr5	0.7523709881977747
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr6	0.7208523448332274
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr7	0.7446305910545249
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr8	0.7588475999285668
2	chr3,chr8,chr13,chr18	0.7599268297732682	chr9	0.7295616777150291
3	chr4,chr9,chr14,chr19	0.733855682776345	chr10	0.7198069461207895
3	chr4,chr9,chr14,chr19	0.733855682776345	chr11	0.7820730702382118
3	chr4,chr9,chr14,chr19	0.733855682776345	chr12	0.7552999967309083
3	chr4,chr9,chr14,chr19	0.733855682776345	chr13	0.7021331295406869
3	chr4,chr9,chr14,chr19	0.733855682776345	chr14	0.740863670623066
3	chr4,chr9,chr14,chr19	0.733855682776345	chr15	0.7543495323381043
