gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
FBXW12	chr3	48372219	48401259	48379736	48379786	+	0.0
SLC38A3	chr3	50205246	50221486	50205267	50205317	+	0.0
MCF2L2	chr3	183178041	183428778	183180263	183180313	-	0.0
C3orf18	chr3	50558025	50571027	50567626	50567676	-	3.07542735465771
APEH	chr3	49674014	49683971	49674359	49674409	+	177.990358150815
SI	chr3	164978898	165078496	165075964	165076014	-	0.0
QRICH1	chr3	49029707	49094363	49093561	49093611	-	10.5717815316359
EPM2AIP1	chr3	36985043	36993131	36992890	36992940	-	1.05717815316359
USP13	chr3	179653032	179804366	179652754	179652804	+	2.59489183049244
AADACL2	chr3	151744454	151770036	151733926	151733976	+	0.0
ZNF502	chr3	44712639	44723827	44712642	44712692	+	2.1143563063271698
SLC15A2	chr3	121894401	121944188	121894439	121894489	+	0.0
FEZF2	chr3	62369681	62374324	62372965	62373015	-	0.0
SLC25A20	chr3	48856926	48898904	48898854	48898904	-	47.47690978752829
USP19	chr3	49108046	49120938	49120781	49120831	-	17.2992788699496
PPP4R2	chr3	72996803	73069198	72996976	72997026	+	1.05717815316359
ADCY5	chr3	123282296	123449090	123419159	123419209	-	0.0
ITGB5	chr3	124761948	124901418	124848401	124848451	-	0.480535524165267
MCCC1	chr3	183015218	183116075	183099500	183099550	-	651.413956558435
P2RY12	chr3	151336843	151384753	151340803	151340853	-	0.0
SS18L2	chr3	42581840	42596934	42591273	42591323	+	0.0
DTX3L	chr3	122564338	122575203	122564426	122564476	+	9.80292469297144
TRH	chr3	129974688	129977935	129974687	129974737	+	0.0
DLEC1	chr3	38039205	38124025	38062745	38062795	+	0.0
LSG1	chr3	194640791	194672463	194672427	194672477	-	4.03649840298824
GLYCTK	chr3	52287089	52295257	52290073	52290123	+	0.0
CTDSPL	chr3	37861880	37984469	37964636	37964672	+	0.0
COLQ	chr3	15450133	15521751	15450829	15450879	-	0.0
ARHGEF3	chr3	56727418	57079329	56977325	56977375	-	0.0
TWF2	chr3	52228612	52246788	52239092	52239142	-	275.442962451531
GFM1	chr3	158644527	158695581	158644704	158644754	+	0.0
STXBP5L	chr3	120908072	121424761	120908288	120908334	+	0.0
USF3	chr3	113648385	113696646	113674846	113674896	-	0.0
TBC1D5	chr3	17157162	18444817	17742594	17742644	-	159.297526260786
CNBP	chr3	129167827	129183922	129183860	129183910	-	450.261786142855
CLSTN2	chr3	139935185	140577397	139935184	139935234	+	0.0
LAMB2	chr3	49121114	49133118	49123727	49123754	-	0.0
PHLDB2	chr3	111732497	111976517	111732496	111732546	+	0.0
SKIL	chr3	170357678	170396835	170361211	170361261	+	0.0
SLC22A14	chr3	38282294	38318575	38305935	38305985	+	0.0
PODXL2	chr3	127629185	127672802	127629180	127629230	+	0.0
ZBBX	chr3	167239843	167407874	167379744	167379794	-	0.0
ATXN7	chr3	63863155	64003462	63911928	63911978	+	0.0
CEP97	chr3	101724593	101770562	101727469	101727519	+	0.480535524165267
IQCF1	chr3	51894876	51903353	51903285	51903335	-	0.0
SFMBT1	chr3	52903572	53046750	53046018	53046068	-	4.90146234648572
GOLIM4	chr3	168008689	168095924	168044831	168044881	-	0.0
CHCHD6	chr3	126704240	126960420	126935123	126935173	+	0.0
MAP6D1	chr3	183815922	183825594	183825544	183825594	-	0.0
HTR1F	chr3	87792706	87993839	87990695	87990745	+	0.0
DGKG	chr3	186105668	186362234	186242587	186242637	-	0.0
CHST2	chr3	143119771	143124014	143119330	143119380	+	0.0
UQCRC1	chr3	48599002	48610976	48609586	48609636	-	445.744752215701
LARS2	chr3	45388561	45554726	45388560	45388610	+	172.416146070498
KLHDC8B	chr3	49171598	49176486	49172712	49172762	+	0.0
SNTN	chr3	63652675	63679020	63652697	63652747	+	0.0
C3orf14	chr3	62319015	62336213	62319720	62319770	+	0.0
