gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
KIF3B	chr20	32277651	32335011	32277663	32277713	+	1.7292765657950802
HSPA12B	chr20	3732685	3753111	3732666	3732716	+	22.76880811630189
CHD6	chr20	41402083	41618384	41499294	41499317	-	0.0
GATA5	chr20	62463497	62475995	62475929	62475970	-	0.0
SPATA2	chr20	49903391	49915529	49913689	49913739	-	0.0
ISM1	chr20	13221274	13300651	13221770	13221820	+	0.288212760965847
GFRA4	chr20	3659248	3663399	3663353	3663399	-	0.0
ARFGAP1	chr20	63272785	63289790	63287655	63287705	+	0.096070920321949
OVOL2	chr20	17956979	18059188	18059138	18059188	-	0.0
TBC1D20	chr20	423596	462566	462493	462543	-	29.974127140448104
BPI	chr20	38304150	38337505	38304122	38304172	+	0.0
MMP24OS	chr20	35201745	35278131	35278079	35278129	-	9.895304793160747
DNAJC5	chr20	63895126	63936031	63895181	63895231	+	0.96070920321949
DHX35	chr20	38962299	39039723	39030359	39030409	+	0.0
ZCCHC3	chr20	297570	300321	296967	297017	+	0.0
TCEA2	chr20	64049836	64072347	64064325	64064352	+	0.0
CSE1L	chr20	49046246	49096960	49090762	49090812	+	0.096070920321949
PRNP	chr20	4686350	4701590	4686349	4686399	+	0.096070920321949
ESF1	chr20	13714322	13784919	13784836	13784886	-	15.659560012477698
RPS21	chr20	62387103	62388520	62387317	62387367	+	5.86032613963889
OTOR	chr20	16748358	16770062	16749373	16749423	+	0.0
NOL4L	chr20	32443059	32585333	32483447	32483497	-	3.17034037062432
VSTM2L	chr20	37903111	37945350	37903141	37903191	+	0.0
CTSZ	chr20	58985686	59008238	59007197	59007247	-	1.53713472515118
TGIF2-RAB5IF	chr20	36574553	36612384	36574552	36574602	+	19.79060958632149
SLC12A5	chr20	46021690	46060150	46021689	46021739	+	0.96070920321949
SNRPB	chr20	2461634	2470853	2470769	2470819	-	196.945386659996
TASP1	chr20	13389392	13638932	13638893	13638940	-	94.9180692780856
AAR2	chr20	36236131	36270918	36236458	36236503	+	38.2362262881357
DOK5	chr20	54475593	54651169	54475625	54475675	+	0.96070920321949
SYCP2	chr20	59863564	59933655	59915639	59915689	-	0.0
TRPC4AP	chr20	35002404	35092807	35092757	35092807	-	213.565655875693
WFDC6	chr20	45534196	45539482	45539357	45539407	-	0.0
ZNF337	chr20	25673195	25696853	25686907	25686957	-	0.0
POFUT1	chr20	32207880	32238658	32216664	32216714	+	0.0
NFS1	chr20	35668052	35699355	35699309	35699359	-	7.10924810382423
LAMA5	chr20	62307955	62367312	62319062	62319112	-	0.288212760965847
DEFB127	chr20	157454	159163	157469	157519	+	0.0
GDAP1L1	chr20	44247099	44280947	44247098	44247148	+	0.480354601609745
PTGIS	chr20	49503874	49568137	49568096	49568146	-	9.414950191551
SIRPD	chr20	1534251	1557705	1557655	1557705	-	0.0
COL20A1	chr20	63293186	63334851	63327201	63327251	+	0.0
POLR3F	chr20	18467389	18484646	18467388	18467438	+	53.0311480177159
SNAP25	chr20	10172395	10308258	10218829	10218879	+	2.30570208772678
RAD21L1	chr20	1226044	1296421	1226055	1226105	+	0.0
BIRC7	chr20	63235883	63240495	63235882	63235932	+	0.0
ADIG	chr20	38581195	38588463	38581205	38581255	+	0.0
DEFB121	chr20	31404845	31412838	31412788	31412838	-	0.0
TLDC2	chr20	36876121	36894235	36876120	36876170	+	0.0
PTK6	chr20	63528001	63537376	63537320	63537370	-	0.0
SHLD1	chr20	5750393	5864395	5750436	5750479	+	4.99568785674135
SOX18	chr20	64047582	64049639	64049591	64049641	-	0.0
SDC4	chr20	45325288	45348424	45348374	45348424	-	4.80354601609745
SNAI1	chr20	49982980	49988886	49982998	49983048	+	0.0
CPNE1	chr20	35626031	35664956	35627349	35627399	-	1.05678012354144
TMEM230	chr20	5068232	5113103	5112742	5112790	-	0.480354601609745
SIGLEC1	chr20	3686970	3712600	3693029	3693079	-	0.0
SYS1	chr20	45361937	45376798	45363138	45363188	+	31.895545546887103
PLAGL2	chr20	32192504	32207743	32207741	32207791	-	2.6899857690145703
ZNFX1	chr20	49237946	49278426	49271173	49271223	-	0.0
CBLN4	chr20	55997357	56005519	56005422	56005472	-	0.0
R3HDML	chr20	44337043	44351238	44336985	44337035	+	0.0
DEFB118	chr20	31368601	31373923	31368617	31368667	+	0.0
FASTKD5	chr20	3146519	3159865	3159847	3159897	-	83.9659843613834
RBM39	chr20	35701347	35742312	35740547	35740597	-	0.096070920321949
ITCH	chr20	34363241	34540748	34363294	34363344	+	145.931727969041
MMP24	chr20	35226690	35276998	35226653	35226703	+	0.096070920321949
TPX2	chr20	31739271	31801805	31739270	31739320	+	607.74464195665
LAMP5	chr20	9514358	9530524	9514357	9514407	+	0.0
PMEPA1	chr20	57648392	57711536	57709710	57709760	-	0.288212760965847
SAMD10	chr20	63974116	63980008	63979958	63980008	-	0.96070920321949
TMX4	chr20	7977346	8019805	8019596	8019646	-	0.0
STK4	chr20	44966479	45080021	44966478	44966528	+	296.426824653374
TGIF2	chr20	36573488	36593950	36573606	36573656	+	23.2491627179117
PDRG1	chr20	31944337	31952046	31952042	31952092	-	9.414950191551
RAE1	chr20	57351223	57379211	57351251	57351301	+	220.290620298229
ZNF512B	chr20	63956704	63969930	63969815	63969865	-	5.2839006177072
RTF2	chr20	56468585	56519449	56468657	56468707	+	71.28462287888621
PHACTR3	chr20	59577509	59847711	59628608	59628658	+	0.0
RALY	chr20	33993646	34108308	33993679	33993729	+	52.74293525675
COMMD7	chr20	32702699	32743467	32743405	32743455	-	25.362722964994504
FLRT3	chr20	14322985	14337614	14337564	14337614	-	2.59391484869262
GGT7	chr20	34844720	34872856	34852222	34852272	-	0.096070920321949
CFAP61	chr20	20052514	20360703	20220128	20220178	+	0.0
IFT52	chr20	43590937	43647299	43613849	43613899	+	0.0
TTPAL	chr20	44475874	44494603	44475885	44475935	+	9.895304793160747
RBPJL	chr20	45306840	45317824	45306850	45306900	+	0.0
EBF4	chr20	2692874	2760108	2755087	2755137	+	0.096070920321949
OSBPL2	chr20	62231922	62296213	62238520	62238570	+	186.857940026191
BCAS4	chr20	50794894	50877177	50795030	50795080	+	41.5987084994039
SLC24A3	chr20	19212642	19722926	19212645	19212695	+	1.2489219641853402
DBNDD2	chr20	45406057	45410610	45406056	45406106	+	0.672496442253643
