gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
CEP120	chr5	123344890	123423592	123423542	123423592	-	2.1143563063271698
FBXO4	chr5	41925254	41941743	41925253	41925303	+	37.5778779897238
GRIA1	chr5	153489615	153813869	153492171	153492221	+	0.0
CAST	chr5	96525267	96779595	96702788	96702838	+	248.24465178377704
PCDHGA11	chr5	141421047	141512975	141421046	141421096	+	10.956209950968098
AP3S1	chr5	115841592	115914081	115895086	115895136	+	0.0
PPP1R2B	chr5	156850295	156852528	156850562	156850612	+	0.0
CDK7	chr5	69234793	69277413	69234840	69234890	+	88.80296486574129
SEPTIN8	chr5	132750819	132807241	132777211	132777261	-	9.03406785430701
DPYSL3	chr5	147390808	147510068	147454216	147454266	-	0.0
DAP	chr5	10679230	10761234	10761086	10761136	-	25.18006146626
TPPP	chr5	659862	693352	693345	693395	-	0.0
GPX3	chr5	151020591	151028988	151020603	151020653	+	0.0
MCC	chr5	113022099	113488823	113488780	113488830	-	0.0
UIMC1	chr5	176905005	177022633	177022583	177022633	-	2.1143563063271698
IL9	chr5	135892246	135895841	135895777	135895827	-	0.0
EDIL3	chr5	83940554	84384880	84078778	84078828	-	0.0
SLIT3	chr5	168661733	169301139	169300696	169300746	-	0.0
NOP16	chr5	176383946	176388927	176388548	176388598	-	78.1350762292723
ADGRV1	chr5	90529344	91164437	90672553	90672603	+	0.0
DDX46	chr5	134758771	134855133	134782069	134782086	+	0.0
SEC24A	chr5	134648785	134727909	134648788	134648838	+	118.500060259155
ADAMTS16	chr5	5140330	5320304	5235036	5235086	+	0.0
PFDN1	chr5	140245035	140303113	140281485	140281535	-	0.0
GMCL2	chr5	178184505	178187371	178187249	178187299	-	0.0
ETF1	chr5	138506095	138543236	138541636	138541686	-	0.0
NR3C1	chr5	143277931	143435512	143434722	143434772	-	6.63139023348068
MTMR12	chr5	32226994	32312987	32312937	32312987	-	65.1606170768101
ISL1	chr5	51383448	51394730	51383671	51383699	+	0.0
UNC5A	chr5	176810519	176880898	176810476	176810526	+	0.0
NDST1	chr5	150485818	150558211	150485817	150485867	+	8.553532330141751
THOC3	chr5	175917873	176034680	175961363	175961413	-	0.0
MATR3	chr5	139293674	139331677	139315750	139315800	+	0.480535524165267
STARD4	chr5	111496033	111512590	111512512	111512562	-	611.817829367217
ATOX1	chr5	151742316	151772532	151758606	151758656	-	200.767741996248
JADE2	chr5	134524312	134583230	134526636	134526686	+	1.05717815316359
GPR151	chr5	146513144	146516190	146516140	146516190	-	0.0
FAXDC2	chr5	154818492	154859252	154850563	154850613	-	4.03649840298824
TRIM23	chr5	65589690	65625975	65625925	65625975	-	0.0
FBLL1	chr5	168529305	168530634	168529115	168529165	+	0.0
SREK1IP1	chr5	64718148	64768691	64768635	64768685	-	155.597402724713
PCDHB5	chr5	141135206	141138615	141135228	141135278	+	0.0
HRH2	chr5	175658030	175710756	175658029	175658079	+	0.0
AK6	chr5	69350984	69370013	69369492	69369542	-	170.638164631086
TENM2	chr5	167284799	168264157	167754935	167754985	+	0.0
PLPP1	chr5	55424854	55534969	55535000	55535050	-	3.07542735465771
SLC9A3	chr5	470456	524449	524280	524330	-	0.0
DHFR	chr5	80626226	80654983	80654051	80654101	-	0.0
ANKHD1-EIF4EBP3	chr5	140401908	140549569	140401907	140401957	+	0.0
WDR41	chr5	77425970	77620611	77492437	77492487	-	21.1435630632717
RNF14	chr5	141958328	141990292	141969104	141969154	+	243.87177851387293
RAD50	chr5	132556019	132646349	132556937	132556987	+	49.8795874083547
PHYKPL	chr5	178208471	178232802	178232741	178232791	-	5.86253339481625
ZNF474	chr5	122129546	122153569	122129559	122129609	+	0.0
PCDHA7	chr5	140834248	141012347	140834247	140834297	+	0.0
TCF7	chr5	134114681	134151865	134115955	134116005	+	2.1143563063271698
ZNF300	chr5	150894392	150904983	150904933	150904983	-	0.480535524165267
ZFR	chr5	32354350	32444740	32383769	32383819	-	0.0
MAST4	chr5	66596380	67169593	66958896	66958946	+	0.0
B4GALT7	chr5	177600132	177610330	177600205	177600255	+	7.111925757645951
POC5	chr5	75674124	75717448	75717398	75717448	-	116.577918162494
MRPS30	chr5	44808947	44820428	44815218	44815268	+	3.07542735465771
ARHGAP26	chr5	142770377	143229011	142907321	142907371	+	0.0
IL4	chr5	132673986	132682678	132673985	132674035	+	0.0
AMACR	chr5	33986165	34008104	34008058	34008108	-	35.1752003688975
RAI14	chr5	34656328	34832612	34656844	34656894	+	0.0
GRAMD2B	chr5	126360132	126496494	126465145	126465195	+	0.0
PAIP1	chr5	43526267	43557758	43557708	43557758	-	0.480535524165267
CSF2	chr5	132073789	132076170	132073789	132073839	+	1.05717815316359
C5orf49	chr5	7830378	7851151	7851101	7851151	-	0.0
YTHDC2	chr5	113513694	113595285	113513682	113513732	+	87.88994736982728
PDLIM4	chr5	132257696	132273454	132257670	132257720	+	2.1143563063271698
CDH10	chr5	24487100	24644978	24644928	24644978	-	0.0
MRPS36	chr5	69217760	69230158	69217785	69217835	+	1099.56138639496
TMEM171	chr5	73120569	73131809	73120568	73120618	+	0.0
RXFP3	chr5	33938372	33940223	33936385	33936435	+	0.0
GNPDA1	chr5	141991749	142013041	142012994	142013041	-	6.63139023348068
POLR3G	chr5	90471748	90514557	90474863	90474913	+	53.916085811342896
GABRP	chr5	170763350	170814047	170783746	170783796	+	0.0
GAPT	chr5	58491435	58497090	58491480	58491530	+	1.05717815316359
NNT	chr5	43602692	43707405	43603198	43603248	+	96.6837474620516
IL3	chr5	132060655	132063204	132060528	132060578	+	0.0
CHSY3	chr5	129904465	130186634	129904471	129904521	+	0.0
COL23A1	chr5	178237476	178590393	178562676	178562726	-	0.0
LNPEP	chr5	96935394	97037513	96935393	96935443	+	2.59489183049244
TRIM7	chr5	181193924	181205293	181203770	181203820	-	0.0
C1QTNF3	chr5	34017858	34043213	34043163	34043213	-	0.0
CAMLG	chr5	134738495	134752157	134738500	134738550	+	36.5206998365603
DEPDC1B	chr5	60596912	60700190	60700140	60700190	-	67.2749733831373
REEP5	chr5	112876385	112922289	112921464	112921514	-	0.480535524165267
FTMT	chr5	121851882	121852833	121851954	121852004	+	0.0
SCAMP1	chr5	78360611	78480739	78360582	78360632	+	32.8686298529042
THG1L	chr5	157731420	157741449	157731419	157731469	+	109.369885300015
RAB3C	chr5	58582221	58859394	58582220	58582270	+	0.0
SMIM15	chr5	61157704	61162468	61162424	61162474	-	561.457706434697
PCDHA11	chr5	140868183	141012347	140871217	140871267	+	0.0
SERF1B	chr5	69709074	69726961	70025268	70025318	+	0.0
MAP1B	chr5	72107234	72209565	72107476	72107526	+	0.0
TMEM267	chr5	43444252	43483893	43483835	43483885	-	14.8004941442902
NUP155	chr5	37288137	37371106	37371053	37371103	-	84.766466462753
PITX1	chr5	135027734	135034813	135034763	135034813	-	0.0
NRG2	chr5	139846779	140043299	140043249	140043299	-	7.111925757645951
TSPAN17	chr5	176647387	176659054	176647466	176647516	+	13.0705662572953
ANKRD31	chr5	75068275	75236911	75236828	75236878	-	0.0
ZDHHC11	chr5	795605	858973	850455	850505	-	0.0
PCDHGA12	chr5	141430507	141512975	141430588	141430638	+	0.0
UBE2QL1	chr5	6448859	6496723	6448622	6448672	+	0.0
NSG2	chr5	174045706	174243501	174045705	174045755	+	0.0
RAPGEF6	chr5	131423921	131635231	131532961	131533006	-	0.0
XRCC4	chr5	83077498	83353787	83077569	83077615	+	172.416146070498
RNF145	chr5	159157409	159210053	159209548	159209598	-	61.316332883488
TBCA	chr5	77691166	77868780	77776311	77776361	-	523.3992929208081
FAM193B	chr5	177519789	177554563	177522112	177522162	-	0.0
PRELID2	chr5	145471799	145835369	145835319	145835369	-	0.480535524165267
