gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
CGRRF1	chr14	54509812	54539292	54509901	54509951	+	79.0183319648031
TMEM229B	chr14	67447084	67533739	67515132	67515182	-	0.0
TGFB3	chr14	75958097	75983011	75966672	75966722	-	0.096070920321949
RNASE11	chr14	20583559	20609884	20609834	20609884	-	0.0
REM2	chr14	22883222	22887678	22883221	22883271	+	5.668184298994991
XRCC3	chr14	103697609	103715504	103714200	103714250	-	0.0
IFI27L1	chr14	94081301	94103846	94081328	94081378	+	101.354820939656
LTB4R	chr14	24311449	24318035	24313310	24313360	+	0.0
GEMIN2	chr14	39114285	39136973	39114284	39114334	+	41.5987084994039
POTEG	chr14	19402486	19434341	19434291	19434341	-	0.0
ZFHX2	chr14	23520857	23556192	23556142	23556192	-	0.0
SLC39A2	chr14	20999255	21001871	20999289	20999339	+	0.0
ERG28	chr14	75649791	75660876	75661139	75661189	-	2.97819852998042
RNASE13	chr14	21032818	21034807	21034735	21034785	-	0.0
RBM25	chr14	73058532	73123899	73058532	73058582	+	1294.74779317891
SIVA1	chr14	104753147	104768494	104753146	104753196	+	641.849818670941
ASPG	chr14	104085686	104115582	104104928	104104978	+	0.0
ACTR10	chr14	58200080	58235636	58223637	58223687	+	0.288212760965847
RTL1	chr14	100879753	100903722	100884797	100884847	-	0.0
PIGH	chr14	67581955	67600286	67600217	67600267	-	0.0
CALM1	chr14	90396502	90408268	90399977	90400027	+	0.0
HIF1A	chr14	61695513	61748259	61745604	61745654	+	0.0
DIO2	chr14	80197526	80387757	80315826	80315876	-	0.672496442253643
L2HGDH	chr14	50237563	50312229	50312179	50312229	-	69.651417233413
GLRX5	chr14	95533503	95544724	95533502	95533552	+	0.0
KLHDC1	chr14	49693105	49753150	49693119	49693169	+	0.288212760965847
DTD2	chr14	31446036	31457506	31457438	31457488	-	4.03497865352186
ITPK1	chr14	92936914	93116320	93036924	93036974	-	0.0
SETD3	chr14	99397748	99480889	99413200	99413250	-	0.0
RPS29	chr14	49570984	49599164	49586366	49586416	-	898.647388691511
NYNRIN	chr14	24399003	24419283	24412593	24412643	+	0.0
RPL10L	chr14	46651010	46651781	46651771	46651821	-	0.0
NOP9	chr14	24299850	24309124	24299861	24299911	+	50.1490204080574
OR11H6	chr14	20223710	20224702	20223631	20223681	+	0.0
TDRD9	chr14	103928456	104052667	103939799	103939849	+	0.0
OSGEP	chr14	20446401	20455089	20449120	20449170	-	0.672496442253643
ERO1A	chr14	52639915	52695900	52695850	52695900	-	1.7292765657950802
STYX	chr14	52730166	52774989	52731593	52731643	+	0.0
LGALS3	chr14	55124110	55145423	55129255	55129300	+	9.414950191551
SIX1	chr14	60643421	60658259	60653081	60653131	-	0.0
EIF2B2	chr14	75002921	75012366	75005904	75005954	+	0.096070920321949
BMP4	chr14	53949736	53958761	53956761	53956811	-	1.2489219641853402
ZNF219	chr14	21090077	21104722	21094485	21094535	-	3.17034037062432
NRXN3	chr14	78170373	79868291	78403749	78403799	+	0.0
LRRC74A	chr14	76826372	76870304	76826381	76826431	+	0.0
ATXN3	chr14	92044496	92106621	92106571	92106621	-	284.56206599361303
IFI27L2	chr14	94127779	94130253	94129539	94129589	-	25.1705811243506
CDC42BPB	chr14	102932380	103057549	102956240	102956290	-	0.0
SLC7A7	chr14	22773222	22829820	22776194	22776232	-	0.0
ADCY4	chr14	24318349	24335093	24335043	24335093	-	0.480354601609745
DLK1	chr14	100725705	100738224	100726908	100726958	+	0.096070920321949
FANCM	chr14	45135930	45200890	45198434	45198484	+	0.288212760965847
NFATC4	chr14	24365672	24379603	24368185	24368235	+	3.4585531315901603
GPHN	chr14	66507407	67181803	67111914	67111919	+	0.0
EFS	chr14	23356403	23365752	23365702	23365752	-	0.096070920321949
NFKBIA	chr14	35401513	35404749	35403188	35403238	-	0.288212760965847
PLD4	chr14	104924713	104937761	104930620	104930670	+	0.0
LRR1	chr14	49598761	49614672	49598951	49599001	+	10.5678012354144
IRF9	chr14	24161265	24166565	24161272	24161322	+	15.659560012477698
FOXN3	chr14	89124871	89619149	89412008	89412058	-	0.0
NID2	chr14	52004809	52069059	52038902	52038952	-	0.0
RIPK3	chr14	24336025	24340022	24337352	24337402	-	0.0
CHD8	chr14	21385194	21456126	21437215	21437265	-	28.4369924152969
TMEM253	chr14	21098811	21103724	21098936	21098986	+	0.0
PYGL	chr14	50857891	50944483	50921478	50921528	-	0.0
CHMP4A	chr14	24209615	24213830	24212059	24212109	-	0.0
MOK	chr14	102224500	102305190	102305116	102305166	-	5.668184298994991
HNRNPC	chr14	21209136	21269494	21269395	21269445	-	1276.01396371613
DHRS4	chr14	23953734	23969279	23953733	23953783	+	124.796125498212
KLHDC2	chr14	49768130	49786385	49768153	49768203	+	4.80354601609745
OR6J1	chr14	22630929	22644352	22634761	22634811	-	0.0
DCAF5	chr14	69050881	69153150	69152990	69153040	-	4.03497865352186
EXD2	chr14	69191498	69244020	69224129	69224179	+	0.0
FAM177A1	chr14	35044907	35113130	35045116	35045166	+	0.0
