gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
AKAIN1	chr18	5142911	5197503	5197453	5197503	-	0.0
WDR7	chr18	56651343	57029811	56890832	56890882	+	0.0
MRO	chr18	50795120	50825402	50819786	50819836	-	0.0
ST8SIA3	chr18	57352557	57371731	57357151	57357201	+	0.0
ONECUT2	chr18	57435374	57491298	57435684	57435734	+	0.0
COLEC12	chr18	316737	500722	500672	500722	-	0.0
SERPINB4	chr18	63637259	63644256	63644248	63644298	-	0.0
DSG3	chr18	31447741	31478702	31447794	31447844	+	0.0
TPGS2	chr18	36777647	36829216	36828974	36829024	-	231.81033685732496
PHLPP1	chr18	62715541	62980433	62715449	62715499	+	0.0
ANKRD29	chr18	23598926	23662911	23662835	23662885	-	0.480535524165267
KDSR	chr18	63327726	63367228	63346566	63346616	-	0.0
TMEM200C	chr18	5882072	5895955	5892054	5892104	-	0.0
SLC66A2	chr18	79902420	79951657	79950816	79950866	-	3.07542735465771
INO80C	chr18	35452230	35497979	35497929	35497979	-	200.767741996248
BCL2	chr18	63123346	63320128	63319736	63319786	-	30.177630917578696
ZNF396	chr18	35366694	35377337	35377287	35377337	-	10.5717815316359
RNF152	chr18	61808067	61894247	61888804	61888854	-	0.0
CEP76	chr18	12661833	12702777	12702706	12702756	-	13.0705662572953
TTR	chr18	31557009	31598833	31591876	31591926	+	0.0
ZBTB14	chr18	5289019	5297053	5295990	5296040	-	18.3564570231132
ZBTB7C	chr18	48026672	48410752	48137311	48137361	-	0.0
IER3IP1	chr18	47152834	47176364	47176324	47176374	-	480.535524165267
ATP8B1	chr18	57646426	57803315	57740915	57740965	-	0.0
SMAD7	chr18	48919853	48950965	48942682	48942732	-	0.480535524165267
PPP4R1	chr18	9546791	9615240	9615190	9615240	-	0.480535524165267
ATP5F1A	chr18	46080248	46104334	46098245	46098295	-	1022.19516700436
SALL3	chr18	78980275	79002677	78991681	78991731	+	0.0
DSEL	chr18	67506587	67516720	67516930	67516980	-	0.0
HAUS1	chr18	46104378	46128333	46104377	46104427	+	4.03649840298824
DSG2	chr18	31498177	31549008	31498219	31498269	+	57.4720486901659
LRRC30	chr18	7231089	7232044	7231124	7231174	+	0.0
MBD2	chr18	54151606	54224669	54160069	54160113	-	0.0
SERPINB11	chr18	63647579	63726432	63710193	63710243	+	0.0
SOCS6	chr18	70289045	70330199	70296598	70296648	+	0.0
ZADH2	chr18	75195113	75209139	75205463	75205513	-	0.0
LMAN1	chr18	59327823	59359265	59331589	59331639	-	0.0
SERPINB8	chr18	63970029	64019779	63979807	63979857	+	0.0
FAM210A	chr18	13663347	13726663	13726542	13726592	-	216.481253636453
FHOD3	chr18	36297713	36780220	36718556	36718606	+	0.480535524165267
TMEM241	chr18	23197144	23437961	23437909	23437959	-	39.4039129815519
LAMA1	chr18	6941742	7117797	6956397	6956447	-	0.0
ENOSF1	chr18	670318	712662	712612	712662	-	4.51703392715351
TAF4B	chr18	26226445	26391685	26226882	26226932	+	0.0
PSTPIP2	chr18	45983536	46072272	46040237	46040287	-	0.0
CDH7	chr18	65750252	65890337	65750920	65750970	+	0.0
ATP9B	chr18	79069285	79378287	79087314	79087364	+	0.0
CCDC102B	chr18	68715209	69055189	68715274	68715324	+	10.5717815316359
DSC1	chr18	31129236	31162856	31162806	31162856	-	0.0
KCTD1	chr18	26454910	26657401	26549769	26549819	-	0.0
MTCL1	chr18	8705661	8832778	8705660	8705710	+	0.0
TXNL1	chr18	56597209	56651600	56600936	56600986	-	0.0
TNFRSF11A	chr18	62325287	62391288	62357902	62357952	+	0.0
STARD6	chr18	54324358	54357964	54357810	54357860	-	0.0
CD226	chr18	69831158	69961803	69956946	69956996	-	0.0
LIPG	chr18	49560699	49599185	49560698	49560748	+	0.0
RAB31	chr18	9708275	9862551	9849595	9849645	+	0.0
LDLRAD4	chr18	13217498	13652755	13218786	13218836	+	0.0
B4GALT6	chr18	31622246	31685836	31685786	31685836	-	0.0
MC2R	chr18	13882044	13915707	13915490	13915540	-	0.0
SNRPD1	chr18	21612314	21633524	21612313	21612363	+	407.013588967981
HRH4	chr18	24460637	24479961	24460728	24460778	+	0.0
ZCCHC2	chr18	62523025	62587709	62575297	62575347	+	0.0
DSC3	chr18	30989365	31042815	31042765	31042815	-	0.0
GRP	chr18	59220158	59230774	59220171	59220221	+	0.0
RIT2	chr18	42743227	43115691	43115641	43115691	-	0.0
NFATC1	chr18	79395856	79529325	79395929	79395979	+	2.1143563063271698
MAPRE2	chr18	34976928	35143470	34977050	34977079	+	0.0
ADCYAP1	chr18	904871	912172	905108	905158	+	0.0
ELOA2	chr18	47032527	47035621	47035571	47035621	-	0.0
POLI	chr18	54269517	54321266	54274896	54274946	+	0.0
RTTN	chr18	70003031	70205726	70019824	70019874	-	0.0
ACAA2	chr18	49782164	49813953	49813887	49813937	-	75.9246128181121
KLHL14	chr18	32672673	32773023	32772117	32772167	-	0.0
RNF165	chr18	46326809	46463140	46333967	46334017	+	0.0
CABYR	chr18	24138987	24161600	24159815	24159865	+	0.0
MYL12B	chr18	3261479	3278461	3262955	3263005	+	0.480535524165267
POTEC	chr18	14507339	14543600	14543535	14543585	-	0.0
DCC	chr18	52340197	53535903	53391783	53391833	+	0.0
FBXO15	chr18	74073353	74147843	74147793	74147843	-	0.480535524165267
ESCO1	chr18	21529284	21600884	21600686	21600736	-	59.8747263109922
PTPRM	chr18	7566782	8406861	8399700	8399750	+	0.0
SLC39A6	chr18	36108531	36129385	36129335	36129385	-	150.263458406479
NARS1	chr18	57600656	57622213	57621774	57621824	-	630.847036124162
CNDP2	chr18	74495816	74523454	74496233	74496283	+	4.90146234648572
CPLX4	chr18	59275156	59318649	59318599	59318649	-	0.0
MYOM1	chr18	3066807	3219968	3075601	3075651	-	0.0
CHMP1B	chr18	11851413	11854444	11851395	11851445	+	31.907558804573696
VAPA	chr18	9914016	9960021	9915769	9915819	+	0.0
RAB27B	chr18	54717860	54895516	54717859	54717909	+	0.0
EMILIN2	chr18	2847006	2916003	2906214	2906264	+	2.1143563063271698
IMPA2	chr18	11981025	12030877	11981464	11981514	+	0.480535524165267
CCDC178	chr18	32937402	33441101	33136027	33136077	-	0.0
HDHD2	chr18	47107408	47150500	47150470	47150520	-	82.41184239434321
SETBP1	chr18	44680173	45068510	44680172	44680222	+	0.0
SYT4	chr18	43267892	43277535	43277485	43277535	-	0.0
ZNF24	chr18	35332227	35345482	35342625	35342675	-	0.0
APCDD1	chr18	10454635	10489949	10472006	10472056	+	0.0
NETO1	chr18	72742314	72868146	72865649	72865699	-	0.0
EPG5	chr18	45847609	45967329	45916755	45916805	-	0.0
MEP1B	chr18	32185069	32220404	32190024	32190074	+	0.0
DSC2	chr18	31058840	31102522	31102365	31102415	-	0.0
PIAS2	chr18	46803218	46920160	46907949	46907999	-	0.0
MPPE1	chr18	11882622	11908366	11908280	11908330	-	39.0194845622196
RIOK3	chr18	23453287	23486603	23453286	23453336	+	156.89484863996
SERPINB12	chr18	63542369	63569329	63556159	63556209	+	0.0
PARD6G	chr18	80157232	80247514	80247496	80247546	-	1.63382078216191
MYO5B	chr18	49822789	50195147	49902783	49902833	-	0.0
CTIF	chr18	48539031	48867468	48539045	48539095	+	5.86253339481625
CETN1	chr18	580380	582114	580356	580406	+	0.0
PSMA8	chr18	26133852	26193355	26133876	26133926	+	0.0
SS18	chr18	26016253	26091217	26090085	26090135	-	0.0
SERPINB13	chr18	63586989	63604639	63587395	63587445	+	0.0
DYNAP	chr18	54587757	54599493	54587756	54587806	+	0.0
TIMM21	chr18	74148523	74160531	74148510	74148560	+	59.2019765771608
RNF125	chr18	32018825	32073219	32037184	32037234	+	0.0
DSG1	chr18	31318160	31359246	31343630	31343680	+	0.0
ZNF532	chr18	58862600	58986480	58948183	58948229	+	0.0
RBBP8	chr18	22798261	23026488	22914122	22914172	+	0.0
AQP4	chr18	26852043	26865771	26862356	26862406	-	0.0
PIGN	chr18	61905255	62187118	62186988	62187038	-	265.688091310976
ROCK1	chr18	20946906	21111813	20969304	20969354	-	0.0
RPL17-C18orf32	chr18	49481681	49492479	49492457	49492479	-	90.052357228571
OSBPL1A	chr18	24162045	24397880	24272182	24272232	-	0.0
CTDP1	chr18	79679803	79754503	79679800	79679850	+	70.63872205229421
SKOR2	chr18	47206169	47251660	47249133	47249183	-	0.0
SLC14A2	chr18	45212995	45683688	45615480	45615530	+	0.0
SMAD2	chr18	47808957	47931146	47931096	47931146	-	21.5279914826039
ZSCAN30	chr18	35251058	35290245	35254571	35254621	-	0.0
GNAL	chr18	11689264	11885685	11751507	11751557	+	0.0
TSHZ1	chr18	75210755	75289950	75221057	75221107	+	0.0
SKA1	chr18	50374995	50394173	50375039	50375089	+	90.58094630515272
ARHGAP28	chr18	6729716	6915716	6730042	6730092	+	0.0
ADNP2	chr18	80109262	80147523	80109292	80109342	+	0.0
C18orf32	chr18	49477243	49487252	49487206	49487252	-	53.6277644968437
CABLES1	chr18	23134564	23260470	23136458	23136508	+	0.0
RELCH	chr18	62187255	62310249	62261610	62261658	+	0.0
L3MBTL4	chr18	5954706	6415237	6326671	6326721	-	0.0
RNMT	chr18	13726660	13764556	13726666	13726716	+	238.970316167387
GAREM1	chr18	32124877	32470882	32331620	32331670	-	0.0
KIAA1328	chr18	36829106	37232172	36829105	36829155	+	44.59369664253671
ELP2	chr18	36129444	36180557	36129879	36129929	+	461.12188898899
C18orf21	chr18	35972625	35979286	35972633	35972683	+	10.956209950968098
MAPK4	chr18	50567310	50567991	50629417	50629467	+	0.0
BOD1L2	chr18	57147087	57150410	57147061	57147111	+	0.0
SEH1L	chr18	12947133	12987536	12947994	12948044	+	175.876001844488
ZNF521	chr18	25061924	25352190	25352140	25352190	-	0.0
CHST9	chr18	26906481	27185308	27142988	27143038	-	0.0
NEDD4L	chr18	58044226	58401540	58221570	58221620	+	5.38199787065099
ST8SIA5	chr18	46667821	46759257	46688867	46688917	-	0.0
RAX	chr18	59267035	59274086	59273335	59273385	-	0.0
ELAC1	chr18	50967991	50988121	50968015	50968065	+	26.813882248421898
SMAD4	chr18	51028394	51085045	51030212	51030262	+	12.3017094186308
MEX3C	chr18	51174550	51218333	51196709	51196759	-	0.480535524165267
LOXHD1	chr18	46476972	46657220	46656983	46657033	-	0.0
THOC1	chr18	214520	268050	226352	226402	-	0.0
SERPINB3	chr18	63655197	63661893	63661913	63661963	-	0.0
GATA6	chr18	22169589	22202528	22170932	22170982	+	0.0
ME2	chr18	50879080	50954257	50879119	50879169	+	31.523130385241497
SMCHD1	chr18	2655726	2805017	2728370	2728420	+	0.0
CXXC1	chr18	50282343	50287839	50287651	50287701	-	85.3431090917513
CFAP53	chr18	50227193	50266495	50266472	50266522	-	0.0
KATNAL2	chr18	46917492	47103478	46946796	46946846	+	0.480535524165267
CCDC68	chr18	54901509	54959461	54942900	54942950	-	0.0
TCF4	chr18	55222185	55664787	55585723	55585773	-	0.0
TUBB6	chr18	12307669	12344320	12310966	12311016	+	0.0
LAMA3	chr18	23689453	23956222	23898260	23898310	+	0.0
NOL4	chr18	33851100	34224952	34048544	34048594	-	0.0
YES1	chr18	721588	812546	812496	812546	-	4.90146234648572
NDC80	chr18	2571557	2616635	2578122	2578141	+	0.0
TXNL4A	chr18	79970813	80033949	79988543	79988593	-	109.946527929013
KCNG2	chr18	79797938	79900184	79875883	79875933	+	0.0
DIPK1C	chr18	74434775	74457944	74457894	74457944	-	0.0
C18orf25	chr18	46173553	46266992	46174026	46174076	+	51.70562240018271
RNF138	chr18	32091874	32131561	32091854	32091904	+	71.35952533854208
PTPN2	chr18	12785478	12929643	12787691	12787741	-	0.0
ANKRD30B	chr18	14728272	14854667	14837148	14837198	+	0.0
LPIN2	chr18	2916994	3013144	2982823	2982873	-	7.400247072145111
PRELID3A	chr18	12407896	12432238	12421285	12421335	+	0.480535524165267
RPRD1A	chr18	35984387	36067576	35993250	35993300	-	0.0
DYM	chr18	49036387	49461347	49460664	49460714	-	34.214129320567004
SLC14A1	chr18	45687025	45752520	45724126	45724176	+	0.0
ABHD3	chr18	21650901	21704780	21704755	21704805	-	16.9148504506174
TGIF1	chr18	3411608	3459978	3412203	3412253	+	0.0
SMIM21	chr18	75409476	75427703	75427632	75427682	-	0.0
GREB1L	chr18	21242232	21526112	21242357	21242393	+	0.0
SPIRE1	chr18	12446512	12658107	12656686	12656736	-	0.0
GALNT1	chr18	35581117	35711834	35581739	35581789	+	0.0
CBLN2	chr18	72536680	72638521	72638471	72638521	-	0.0
SERPINB10	chr18	63897174	63936111	63907990	63908040	+	5.38199787065099
MOCOS	chr18	36187497	36272157	36187518	36187568	+	2.1143563063271698
TWSG1	chr18	9334767	9402420	9334766	9334816	+	77.1740051809418
USP14	chr18	158383	214629	158556	158606	+	72.6569712537883
NDUFV2	chr18	9102630	9134345	9126626	9126676	+	0.0
TUBB8B	chr18	47221	49615	48832	48882	-	0.0
TXNDC2	chr18	9885766	9889275	9885777	9885827	+	0.0
MALT1	chr18	58671465	58754477	58671531	58671581	+	17.2992788699496
MC5R	chr18	13824149	13827323	13824154	13824204	+	0.0
CIDEA	chr18	12254361	12277595	12254360	12254410	+	0.0
METTL4	chr18	2537525	2571509	2554668	2554692	-	0.0
C18orf63	chr18	74315839	74359189	74315812	74315862	+	0.0
SLC25A52	chr18	31759584	31760880	31760830	31760880	-	0.0
TMX3	chr18	68673688	68715108	68715027	68715077	-	16.145993611953003
SERPINB7	chr18	63752935	63805376	63777976	63778026	+	0.0
MYL12A	chr18	3247481	3256236	3255523	3255573	+	0.0
SERPINB2	chr18	63871692	63903888	63887699	63887749	+	112.973901731254
EPB41L3	chr18	5392381	5630700	5528950	5528999	-	0.0
SERPINB5	chr18	63476958	63505085	63476957	63477007	+	0.0
FECH	chr18	57544377	57586732	57586722	57586772	-	23.546240684098105
ANKRD12	chr18	9136228	9285985	9136227	9136277	+	0.0
PMAIP1	chr18	59899996	59904305	59900015	59900065	+	5.86253339481625
CTAGE1	chr18	22413599	22417915	22414817	22414867	-	0.0
VPS4B	chr18	63389190	63422483	63422433	63422483	-	373.760530695744
DOK6	chr18	69400888	69849087	69643687	69643737	+	0.0
CCBE1	chr18	59430939	59697662	59666112	59666162	-	0.0
MBD1	chr18	50266882	50281774	50275914	50275964	-	0.480535524165267
C18orf54	chr18	54357906	54385218	54358584	54358634	+	0.480535524165267
ZNF236	chr18	76822557	76972901	76898091	76898141	+	0.0
ASXL3	chr18	33578219	33751195	33605593	33605643	+	0.0
CDH19	chr18	66501083	66604138	66604088	66604138	-	0.0
GALR1	chr18	77249848	77277900	77250548	77250598	+	0.0
PIEZO2	chr18	10666483	11149569	10701931	10701981	-	0.0
NPC1	chr18	23506184	23586506	23539848	23539898	-	0.0
