gene_name	gex	gex_rank
SLC20A1	0.0	0.29013141734217635
C11orf58	2239.10332840048	0.9974207811348563
ZSCAN9	19.798063595609	0.8000184229918939
CD19	411.53062289513394	0.9735323016457873
TMEM123	34.214129320567004	0.833701793171211
POMC	0.480535524165267	0.6075288626873004
NME2	0.0	0.29013141734217635
CEP120	2.1143563063271698	0.680545320560059
FBXO4	37.577877989723795	0.8396585605502334
GRIA1	0.0	0.29013141734217635
GALNT9	0.0	0.29013141734217635
AKAIN1	0.0	0.29013141734217635
SYCE1L	0.0	0.29013141734217635
GOLGA8S	0.0	0.29013141734217635
CAST	248.24465178377704	0.9543723900761484
FBXW12	0.0	0.29013141734217635
DIRAS2	0.0	0.29013141734217635
WDR7	0.0	0.29013141734217635
MMP1	0.0	0.29013141734217635
SREBF2	0.0	0.29013141734217635
SLC38A3	0.0	0.29013141734217635
PCDHGA11	10.956209950968098	0.7655367231638418
ZNF707	29.697095393413505	0.8240297224269222
ACTR6	0.0	0.29013141734217635
POLR3K	0.0	0.29013141734217635
POLR2F	176.45264447348598	0.9374846475067551
CSDC2	0.0	0.29013141734217635
POGLUT3	0.0	0.29013141734217635
ASB16	0.0	0.29013141734217635
GRIK2	0.0	0.29013141734217635
LY6G6E	0.0	0.29013141734217635
ADAM2	0.0	0.29013141734217635
OR6M1	0.0	0.29013141734217635
MCF2L2	0.0	0.29013141734217635
C3orf18	3.07542735465771	0.7000736919675755
CLEC4E	0.0	0.29013141734217635
TXN	0.0	0.29013141734217635
CD109	0.0	0.29013141734217635
CNTNAP3	0.0	0.29013141734217635
MAD1L1	0.0	0.29013141734217635
CYP51A1	189.763478492864	0.941936870547777
ALK	0.0	0.29013141734217635
CABP4	0.0	0.29013141734217635
MYF5	0.0	0.29013141734217635
NUP42	0.0	0.29013141734217635
APEH	177.990358150815	0.938129452223041
TMEM41B	56.6070847466684	0.867231638418079
SEC61A2	10.956209950968098	0.7655367231638418
PDE2A	0.0	0.29013141734217635
SI	0.0	0.29013141734217635
KIF3B	5.86253339481625	0.7314541881601572
ARHGDIB	35.7518429978958	0.836710881847212
RGS11	0.0	0.29013141734217635
NQO2	0.0	0.29013141734217635
APBB1	0.480535524165267	0.6075288626873004
TBC1D3I	0.0	0.29013141734217635
PBK	50.74455135185221	0.8598317366740359
VPS37A	0.0	0.29013141734217635
FAS	5.38199787065099	0.7278002947678703
GTF3C2	0.480535524165267	0.6075288626873004
P4HA1	110.427063453178	0.9119995087202162
ZNF680	1.05717815316359	0.6474453451240482
NT5DC1	0.480535524165267	0.6075288626873004
GPR6	0.0	0.29013141734217635
