gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
MAD1L1	chr7	1815793	2233243	2230611	2230661	-	0.0
CYP51A1	chr7	92084987	92134803	92134480	92134530	-	189.763478492864
NUP42	chr7	23181841	23201011	23194402	23194452	+	0.0
ZNF680	chr7	64519878	64563075	64563025	64563075	-	1.05717815316359
RNF216	chr7	5620047	5781696	5649965	5650015	-	0.0
MET	chr7	116672196	116798377	116758516	116758566	+	0.0
TRA2A	chr7	23504780	23532041	23531973	23532023	-	115.52074000933
UNCX	chr7	1232872	1237326	1232906	1232956	+	0.0
FOXP2	chr7	114086327	114693772	114416285	114416335	+	0.0
PTTG1IP2	chr7	90469639	90513397	90469786	90469836	+	0.0
CASP2	chr7	143288215	143307696	143291617	143291667	+	0.0
SRRM3	chr7	76201896	76287288	76234981	76235031	+	0.0
CHRM2	chr7	136868652	137020255	136868777	136868827	+	0.0
BMT2	chr7	112819147	112939875	112939248	112939298	-	0.480535524165267
STK31	chr7	23710203	23832513	23710325	23710375	+	0.0
CAPZA2	chr7	116811070	116922049	116862586	116862636	+	142.238515152919
CLCN1	chr7	143316111	143352083	143316125	143316175	+	0.0
ZNF786	chr7	149069641	149090782	149090689	149090739	-	31.523130385241497
ZYX	chr7	143381295	143391111	143381360	143381410	+	1.05717815316359
BCL7B	chr7	73536356	73557690	73557604	73557654	-	12.59003073313
CBLL1	chr7	107743949	107761667	107744141	107744176	+	71.35952533854208
SRPK2	chr7	105110704	105399308	105133018	105133068	-	0.0
TAX1BP1	chr7	27739331	27844564	27739330	27739380	+	0.0
LSM5	chr7	32485338	32495283	32490813	32490863	-	0.0
RABGEF1	chr7	66682164	66811464	66682163	66682213	+	6.63139023348068
HECW1	chr7	43112629	43566001	43112628	43112678	+	0.480535524165267
STRIP2	chr7	129434432	129488399	129434432	129434482	+	14.3199586201249
NPY	chr7	24284188	24291862	24284162	24284212	+	0.0
SCRN1	chr7	29920104	29990289	29990155	29990205	-	0.480535524165267
VPS41	chr7	38722974	38932394	38909179	38909229	-	369.43571097825696
CAV2	chr7	116287380	116508541	116289912	116289962	+	0.0
FBXL18	chr7	5431335	5513809	5513748	5513798	-	14.8004941442902
PPP1R3A	chr7	113876777	114075920	114075870	114075920	-	0.0
SPDYE17	chr7	77022306	77032361	77030522	77030572	-	0.0
PPP1R35	chr7	100435282	100436497	100436423	100436473	-	2.59489183049244
SPDYE9	chr7	73075972	73086038	73082045	73082095	-	0.0
DGKI	chr7	137381037	137847092	137847042	137847092	-	0.0
GUSB	chr7	65960684	65982215	65967858	65967908	-	0.0
JAZF1	chr7	27830573	28180795	28071634	28071684	-	0.0
GSTK1	chr7	143244093	143270854	143263442	143263492	+	283.419852152674
SVOPL	chr7	138594285	138701362	138663521	138663571	-	0.0
LMBR1	chr7	156668946	156893216	156763127	156763177	-	0.480535524165267
EEPD1	chr7	36153254	36301538	36297143	36297177	+	0.0
SPDYE18	chr7	77050391	77062558	77059390	77059440	-	0.0
PLOD3	chr7	101205977	101218420	101211887	101211937	-	0.0
IGF2BP3	chr7	23310209	23470491	23431253	23431303	-	0.0
NPVF	chr7	25224570	25228486	25228436	25228486	-	0.0
GIMAP7	chr7	150514872	150521073	150514829	150514879	+	133.492768613111
ADCK2	chr7	140672945	140696261	140674483	140674533	+	0.0
SUGCT	chr7	40135005	40860763	40274510	40274560	+	0.0
TTC26	chr7	139133744	139191986	139133743	139133793	+	59.8747263109922
HOXA5	chr7	27141052	27143681	27142725	27142775	-	0.0
CYP3A43	chr7	99828013	99866093	99828012	99828062	+	0.0
RAPGEF5	chr7	22118236	22357154	22193694	22193744	-	0.0
POLR2J3	chr7	102562133	102572583	102572505	102572555	-	0.0
INMT	chr7	30697985	30757602	30697984	30698034	+	0.0
CROT	chr7	87345664	87399794	87345680	87345730	+	20.1824920149412
COX19	chr7	898778	975549	975499	975549	-	73.2336138827866
YWHAG	chr7	76326799	76358991	76358981	76359031	-	270.445393000212
CDCA7L	chr7	21900899	21945903	21945853	21945903	-	103.122923485866
OR2F1	chr7	143954844	143997312	143959926	143959976	+	0.0
OCM	chr7	5879827	5886363	5880797	5880847	+	0.0
ZNF117	chr7	64971772	65006684	64982069	64982119	-	0.0
AMZ1	chr7	2679522	2775500	2688201	2688251	+	0.480535524165267
COA1	chr7	43608456	43729717	43729473	43729523	-	274.866319822532
