gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
CRYZL1	chr21	33589341	33643926	33603403	33603448	-	0.0
MRAP	chr21	32291813	32314784	32298849	32298899	+	0.0
PFKL	chr21	44300051	44327376	44300066	44300116	+	259.585290154077
IL10RB	chr21	33266367	33310187	33266357	33266407	+	100.624138760207
KRTAP19-2	chr21	30487043	30487436	30487386	30487436	-	0.0
TSPEAR	chr21	44497893	44711572	44711530	44711580	-	0.0
KCNE2	chr21	34364006	34371381	34364023	34364073	+	0.0
KRTAP19-1	chr21	30479706	30480367	30480294	30480344	-	0.0
GRIK1	chr21	29536933	29940033	29939624	29939674	-	0.0
CLDN8	chr21	30214006	30216097	30216023	30216073	-	0.0
SUMO3	chr21	44805617	44818779	44818055	44818105	-	23.8345619985972
POFUT2	chr21	45263928	45287898	45287848	45287898	-	24.411204627595502
KRTAP10-9	chr21	44627093	44628378	44627122	44627172	+	0.0
KRTAP12-2	chr21	44666189	44666927	44666877	44666927	-	0.0
ADAMTS5	chr21	26917922	26967088	26966463	26966513	-	0.0
FAM3B	chr21	41304212	41357727	41322819	41322869	+	0.0
ABCG1	chr21	42199689	42297244	42199811	42199849	+	0.0
CLDN17	chr21	30165565	30166805	30166706	30166756	-	0.0
PTTG1IP	chr21	44849585	44873903	44873853	44873903	-	0.0
KRTAP12-4	chr21	44654213	44654659	44654609	44654659	-	0.0
PDXK	chr21	43719094	43762307	43719175	43719225	+	14.3199586201249
USP25	chr21	15729982	15880064	15825009	15825059	+	0.0
C21orf58	chr21	46300181	46323875	46318156	46318206	-	0.480535524165267
KRTAP22-1	chr21	30601087	30601382	30601086	30601136	+	0.0
DNMT3L	chr21	44246339	44262216	44261840	44261890	-	0.0
TCP10L	chr21	32497967	32587373	32585483	32585533	-	0.0
CBS	chr21	43053191	43076943	43058891	43058941	-	0.0
C21orf91	chr21	17788974	17819386	17819336	17819386	-	203.747062246073
COL6A2	chr21	46098112	46132848	46098796	46098846	+	0.0
RRP1	chr21	43789513	43805293	43792930	43792980	+	0.0
PWP2	chr21	44107373	44131181	44107372	44107422	+	13.8394230959597
SAMSN1	chr21	14485228	14658821	14546310	14546360	-	146.707495527656
DONSON	chr21	33559542	33588706	33588656	33588706	-	64.96840286714401
YBEY	chr21	46286342	46297751	46286336	46286386	+	20.1824920149412
TPTE	chr21	10521553	10606140	10521552	10521602	+	0.0
LSS	chr21	46188141	46228824	46228731	46228781	-	68.6685264032166
KRTAP20-2	chr21	30635206	30635619	30635235	30635285	+	0.0
ERVH48-1	chr21	42916803	42925630	42925596	42925646	-	0.0
POTED	chr21	13609777	13645823	13609857	13609907	+	0.0
KRTAP13-2	chr21	30371390	30372271	30372207	30372257	-	0.0
TMPRSS15	chr21	18269116	18485879	18485829	18485879	-	0.0
KCNE1	chr21	34446688	34512214	34455691	34455741	-	0.0
SETD4	chr21	36034541	36079389	36060314	36060364	-	9.03406785430701
NCAM2	chr21	20998409	21543329	21239341	21239391	+	0.0
U2AF1	chr21	43092956	43107570	43107537	43107587	-	2.59489183049244
MAP3K7CL	chr21	29077471	29175889	29145558	29145608	+	0.0
SLC19A1	chr21	45493572	45573365	45542421	45542471	-	32.8686298529042
ZBTB21	chr21	41986831	42010387	42010337	42010387	-	180.34498221922505
HMGN1	chr21	39342315	39349647	39349049	39349099	-	189.427103625948
DIP2A	chr21	46458891	46570015	46561284	46561334	+	0.0
HSF2BP	chr21	43529186	43659488	43659443	43659493	-	1.05717815316359
FTCD	chr21	46142109	46155567	46155517	46155567	-	0.0
ADARB1	chr21	45073853	45226560	45176409	45176459	+	0.0
CHODL	chr21	17901263	18267373	18256501	18256551	+	0.0
KRTAP10-3	chr21	44557790	44558795	44558710	44558760	-	0.0
ADAMTS1	chr21	26835755	26845409	26843741	26843777	-	0.0
COL18A1	chr21	45405165	45513720	45506018	45506068	+	0.0
HLCS	chr21	36748626	36990236	36990186	36990236	-	4.90146234648572
KRTAP21-2	chr21	30746794	30747259	30747183	30747233	-	0.0
KRTAP8-1	chr21	30812697	30813274	30813202	30813252	-	0.0
EVA1C	chr21	32412006	32515397	32412552	32412602	+	0.0
PAXBP1	chr21	32733899	32771792	32771742	32771792	-	74.5791133504494
CLIC6	chr21	34668994	34718227	34669388	34669438	+	0.0
KRTAP6-3	chr21	30592440	30593075	30592439	30592489	+	0.0
N6AMT1	chr21	28872191	28885371	28885321	28885371	-	53.916085811342896
SIK1	chr21	43414483	43427131	43421955	43422005	-	0.0
DOP1B	chr21	36156782	36294274	36164835	36164871	+	0.0
KRTAP15-1	chr21	30440275	30440869	30440274	30440324	+	0.0
BACE2	chr21	41167801	41282530	41167800	41167850	+	0.0
IFNGR2	chr21	33410836	33488905	33403426	33403476	+	89.18739328507351
KRTAP27-1	chr21	30337013	30337694	30337644	30337694	-	0.0
APP	chr21	25880550	26171128	26050999	26051032	-	12.3017094186308
KRTAP10-6	chr21	44591268	44592505	44592455	44592505	-	0.0
