gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand	gex
SLC20A1	chr2	112645939	112663825	112658362	112658412	+	0.0
POMC	chr2	25160853	25168903	25168640	25168690	-	0.480535524165267
ALK	chr2	29192774	29921586	29717650	29717700	-	0.0
GTF3C2	chr2	27325849	27357034	27337258	27337308	-	0.480535524165267
PTPN18	chr2	130356045	130375405	130358949	130358975	+	0.0
RGPD4	chr2	107826892	107892544	107826936	107826986	+	0.0
OST4	chr2	27070472	27071654	27071600	27071649	-	55.646013698337896
NDUFS1	chr2	206114817	206159509	206159375	206159425	-	64.5839744478118
GRHL1	chr2	9951693	10002277	9951692	9951742	+	1.05717815316359
CALM2	chr2	47160084	47176921	47176461	47176511	-	540.698571790758
FAM126B	chr2	200973718	201071671	201045507	201045557	-	0.0
SH3BP4	chr2	234952017	235055714	234981623	234981673	+	0.0
DOCK10	chr2	224765090	225042468	224807910	224807933	-	0.480535524165267
GTF2A1L	chr2	48617798	48733148	48617837	48617887	+	0.0
ASPRV1	chr2	69960089	69961631	69962215	69962265	-	0.0
PKDCC	chr2	42048021	42058517	42054956	42055006	+	0.0
DYNC2LI1	chr2	43774039	43810010	43774038	43774088	+	47.90939175927711
CIAO1	chr2	96266159	96274173	96266245	96266295	+	121.671594718645
CERKL	chr2	181535041	181680665	181657057	181657107	-	0.0
ITGB1BP1	chr2	9403475	9423528	9408249	9408299	-	0.0
CGREF1	chr2	27098889	27119128	27119065	27119115	-	0.0
DTYMK	chr2	241675747	241686944	241686894	241686944	-	0.480535524165267
ARMC9	chr2	231198546	231376848	231198642	231198692	+	8.553532330141751
DUSP19	chr2	183078559	183100008	183078988	183079038	+	0.0
ATG16L1	chr2	233210051	233295674	233251669	233251719	+	68.09188377421829
MAP4K3	chr2	39249266	39437301	39437097	39437147	-	0.480535524165267
REG3A	chr2	79157003	79159753	79159727	79159749	-	0.0
SPATS2L	chr2	200305881	200482264	200306158	200306208	+	0.0
LYG1	chr2	99284238	99304742	99304692	99304742	-	0.0
SUMO1	chr2	202206182	202238599	202238558	202238608	-	1896.96203519481
CD302	chr2	159768628	159798255	159798192	159798242	-	0.0
ZNF514	chr2	95145000	95165413	95159287	95159337	-	0.0
NCK2	chr2	105744912	105894274	105744896	105744946	+	5.86253339481625
IL1R2	chr2	101991960	102028544	102023389	102023439	+	0.0
DYNC1I2	chr2	171687409	171750158	171687408	171687458	+	64.5839744478118
VIT	chr2	36696690	36814794	36696804	36696854	+	0.480535524165267
MOB4	chr2	197515571	197553699	197516046	197516096	+	129.840698629455
KCTD18	chr2	200488958	200519784	200510018	200510068	-	3.07542735465771
MSGN1	chr2	17816460	17817798	17816495	17816545	+	0.0
MYT1L	chr2	1789113	2331664	1842857	1842907	-	0.0
CRIM1	chr2	36355778	36551135	36356470	36356520	+	0.0
TFPI	chr2	187464230	187565760	187519810	187519860	-	0.0
HES6	chr2	238238267	238240662	238239991	238240041	-	4.03649840298824
NR4A2	chr2	156324437	156342348	156342298	156342348	-	0.0
GALNT14	chr2	30910467	31155202	31137971	31138021	-	2.59489183049244
HADHB	chr2	26243170	26290465	26244894	26244944	+	528.8293443438761
GLI2	chr2	120735623	120992653	120735622	120735672	+	0.0
MTHFD2	chr2	74186172	74217565	74198609	74198659	+	279.33530019726896
UNC50	chr2	98608579	98618515	98616396	98616446	+	0.0
PLEKHH2	chr2	43637260	43767987	43637299	43637349	+	0.0
IL1RL1	chr2	102311502	102352037	102311567	102311617	+	0.0
NOSTRIN	chr2	168786539	168865514	168798150	168798200	+	0.0
