fold	val_chr	overall_spearman	chr	mean_spearman
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr10	0.7459781208399953
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr11	0.7752136775837711
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr12	0.77255435813819
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr13	0.6925659587354697
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr14	0.7556695606663407
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr15	0.7625419486671879
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr16	0.7372787160500014
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr17	0.7583037735789767
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr18	0.7706077601596115
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr19	0.7299431283723444
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr2	0.7551471479110182
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr20	0.745563970129919
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr21	0.7307364959316749
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr22	0.7371687840226081
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr3	0.7731243657524765
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr4	0.7589105269405262
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr5	0.7809363495294119
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr6	0.7311095072283056
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr7	0.7648920219662559
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr8	0.7569380422261851
1	chr2,chr7,chr12,chr17,chr22	0.7605330534952064	chr9	0.7532194899030613
2	chr3,chr8,chr13,chr18	0.7593961902774939	chr10	0.7459781208399953
2	chr3,chr8,chr13,chr18	0.7593961902774939	chr11	0.7752136775837711
2	chr3,chr8,chr13,chr18	0.7593961902774939	chr12	0.77255435813819
2	chr3,chr8,chr13,chr18	0.7593961902774939	chr13	0.6925659587354697
2	chr3,chr8,chr13,chr18	0.7593961902774939	chr14	0.7556695606663407
